aaa            able        absolute      absolutely        abundant         abusive 
0.004291845     0.004291845     0.004291845     0.012875536     0.004291845     0.012875536 
area          aready           areas            aren           arena         armoire 
0.227467811     0.004291845     0.017167382     0.008583691     0.004291845     0.004291845 
armor        arranged    arrangements           array         arrival         arrived 
0.004291845     0.008583691     0.008583691     0.008583691     0.017167382     0.085836910 
arriving          arrows             art          artist         artists         artwork 
0.004291845     0.004291845     0.047210300     0.004291845     0.004291845     0.004291845 
asian           aside             ask           asked          asking          aspect 
0.008583691     0.004291845     0.012875536     0.047210300     0.008583691     0.008583691 
assessed           asset          assist      assistance        assisted      associated 
0.004291845     0.004291845     0.004291845     0.012875536     0.004291845     0.004291845 
assortment          assume         assured             ate      atmosphere       attempted 
0.017167382     0.004291845     0.004291845     0.025751073     0.025751073     0.004291845 
attempting          attend       attendant       attending       attention       attentive 
0.004291845     0.004291845     0.008583691     0.012875536     0.008583691     0.017167382 
attitude     attractions      attractive      attributes          august       authentic 
0.004291845     0.072961373     0.017167382     0.004291845     0.021459227     0.004291845 
availability       available             ave          avenue         average       averaging 
0.012875536     0.055793991     0.021459227     0.012875536     0.017167382     0.004291845 
avoid        avoiding         awaited        awaiting           aware            away 
0.012875536     0.004291845     0.008583691     0.004291845     0.008583691     0.171673820 
awesome          awhile         awkward               b            baby          backed 
0.017167382     0.008583691     0.004291845     0.004291845     0.008583691     0.004291845 
backpack           bacon             bad             bag            bage           bagel 
0.004291845     0.004291845     0.064377682     0.008583691     0.004291845     0.008583691 
bagels         baggage          bagles            bags      bainbridge       balconies 
0.055793991     0.004291845     0.004291845     0.021459227     0.017167382     0.004291845 
balcony            ball         ballard        ballgame       ballgames        balloons 
0.038626609     0.017167382     0.004291845     0.008583691     0.004291845     0.004291845 
ballpark         bananas          banged        banister             bar            bare 
0.012875536     0.004291845     0.004291845     0.004291845     0.021459227     0.004291845 
barely         bargain            bars            base        baseball           based 
0.008583691     0.004291845     0.042918455     0.008583691     0.021459227     0.008583691 
basic       basically          basket            bath        bathroom       bathrooms 
0.008583691     0.004291845     0.008583691     0.008583691     0.098712446     0.017167382 
bathtub          batter        battered             bay             bbq              bc 
0.004291845     0.004291845     0.004291845     0.030042918     0.004291845     0.008583691 
beat      beautiflly       beautifly       beautiful      beautifull     beautifully 
0.008583691     0.004291845     0.004291845     0.103004292     0.004291845     0.025751073 
becasue             bed         bedding      bedraggled         bedroom            beds 
0.004291845     0.158798283     0.004291845     0.004291845     0.004291845     0.064377682 
bedside       bedspread            beer           beers           began         begging 
0.004291845     0.004291845     0.008583691     0.004291845     0.004291845     0.004291845 
beginning         belgian         belgium         believe       believers            bell 
0.008583691     0.008583691     0.004291845     0.004291845     0.004291845     0.021459227 
bellman         bellmen        belltown         beneath     bestwestern             bet 
0.008583691     0.004291845     0.004291845     0.004291845     0.004291845     0.004291845 
better        beverage          beware             big         bigelow          bigger 
0.068669528     0.004291845     0.004291845     0.111587983     0.004291845     0.004291845 
biggest        birthday        biscuits             bit            bite           bland 
0.004291845     0.008583691     0.004291845     0.064377682     0.004291845     0.004291845 
blankets           blind          blinds             blk           block         blocked 
0.004291845     0.004291845     0.004291845     0.004291845     0.171673820     0.004291845 
blocks         blowing           blues        bluffing           board        boarding 
0.184549356     0.004291845     0.004291845     0.004291845     0.012875536     0.008583691 
boardroom       boardwalk            boat           boats       boccalino          bodied 
0.004291845     0.004291845     0.008583691     0.004291845     0.017167382     0.004291845 
body          boeing            boil          boiled         bonding           bones 
0.004291845     0.004291845     0.004291845     0.047210300     0.004291845     0.004291845 
bonus            book          booked         booking       bookshops       bookstore 
0.012875536     0.038626609     0.064377682     0.012875536     0.004291845     0.004291845 
boot          booths         borders           bored            born          bother 
0.004291845     0.004291845     0.004291845     0.004291845     0.004291845     0.012875536 
bothered         bothers          bottle         bottled         bottles      bounciness 
0.008583691     0.004291845     0.021459227     0.012875536     0.012875536     0.004291845 
bounes        boutique       boutiques            bowl             box           boxed 
0.004291845     0.025751073     0.004291845     0.008583691     0.004291845     0.004291845 
brand           bread          breads       breakfast      breakfasts          breeze 
0.012875536     0.012875536     0.012875536     0.579399142     0.017167382     0.004291845 
bremerton            brew       breweries           brews           brick           brief 
0.004291845     0.004291845     0.004291845     0.004291845     0.008583691     0.004291845 
bright        brightly           bring         brother         brought          brunch 
0.004291845     0.004291845     0.021459227     0.004291845     0.004291845     0.004291845 
bubbly          bucket           bucks        buffered          buffet           buffs 
0.004291845     0.004291845     0.008583691     0.004291845     0.008583691     0.004291845 
building       buildings          buildt           built            bums           bunch 
0.120171674     0.012875536     0.004291845     0.012875536     0.004291845     0.004291845 
bus           buses        business        buslines            busy          butler 
0.154506438     0.025751073     0.081545064     0.004291845     0.025751073     0.008583691 
buy              bw             bws          bygone             caa             cab 
0.012875536     0.030042918     0.004291845     0.004291845     0.004291845     0.042918455 
cabinet           cable         caching           cafes      california          called 
0.004291845     0.008583691     0.004291845     0.008583691     0.008583691     0.038626609 
calls            calm            came          camera         cameras          canada 
0.017167382     0.004291845     0.064377682     0.008583691     0.008583691     0.004291845 
cancel           candy             cap         capitol             car           carbs 
0.004291845     0.008583691     0.004291845     0.004291845     0.094420601     0.004291845 
card          cardio            care         careful       carefully        careless 
0.030042918     0.004291845     0.017167382     0.004291845     0.004291845     0.004291845 
cares          caring        carltons          carpet       carpeting         carpets 
0.008583691     0.004291845     0.004291845     0.017167382     0.004291845     0.004291845 
carried           carry            cars          carved            case          casual 
0.004291845     0.004291845     0.004291845     0.004291845     0.012875536     0.004291845 
catch        catching        category           cater          caught          caused 
0.025751073     0.008583691     0.004291845     0.004291845     0.021459227     0.008583691 
cbd         ceiling        ceilings     celebrating         celings            cent 
0.004291845     0.004291845     0.021459227     0.004291845     0.004291845     0.004291845 
center         central       centrally          centre         century     centurylink 
0.055793991     0.021459227     0.017167382     0.008583691     0.004291845     0.004291845 
cereal         cereals       certainly           chain          chains           chair 
0.068669528     0.038626609     0.034334764     0.021459227     0.004291845     0.004291845 
chairs      challenges       champagne          change        changing       character 
0.012875536     0.004291845     0.017167382     0.012875536     0.004291845     0.047210300 
charge         charged         charges        charging         charity           charm 
0.017167382     0.012875536     0.004291845     0.008583691     0.004291845     0.055793991 
charming           cheap         cheaper           check         checked         checkin 
0.030042918     0.012875536     0.017167382     0.094420601     0.038626609     0.012875536 
checking        checkout     cheeeeeeeap        cheerful      cheerfully          cheers 
0.017167382     0.012875536     0.004291845     0.008583691     0.004291845     0.004291845 
cheese          cherry           chest       chickened        children         chilled 
0.004291845     0.004291845     0.004291845     0.004291845     0.004291845     0.004291845 
chilling          chilly       chinatown         chinese            chip           chips 
0.004291845     0.004291845     0.025751073     0.004291845     0.004291845     0.008583691 
chocolate          choice         choices          choose           chose          chosen 
0.004291845     0.042918455     0.012875536     0.021459227     0.034334764     0.008583691 
chowder          chower           chris       christmas           cindy   circumstances 
0.004291845     0.004291845     0.004291845     0.004291845     0.004291845     0.008583691 
cities            city           claim          claims            clam           clams 
0.004291845     0.154506438     0.004291845     0.004291845     0.004291845     0.004291845 
class         classic          classy          clatts  claustrophobic           clean 
0.008583691     0.012875536     0.004291845     0.004291845     0.004291845     0.399141631 
cleaning     cleanliness           clear       clearance         cleared        clearing 
0.004291845     0.004291845     0.008583691     0.004291845     0.004291845     0.004291845 
clearly           cleck           clerk          clerks           climb         clipper 
0.004291845     0.004291845     0.017167382     0.008583691     0.008583691     0.012875536 
close          closed          closer         closest         closing         clothed 
0.244635193     0.008583691     0.017167382     0.012875536     0.004291845     0.004291845 
clothes            club           clubs           coast           cocoa             cod 
0.004291845     0.012875536     0.008583691     0.017167382     0.004291845     0.004291845 
code          coffee            cold      colleagues       collected       collision 
0.004291845     0.090128755     0.021459227     0.004291845     0.004291845     0.004291845 
color        colorful          colors        coloured        columbia          column 
0.004291845     0.004291845     0.004291845     0.004291845     0.004291845     0.004291845 
com     combination       combining            come       comedians          comedy 
0.012875536     0.004291845     0.004291845     0.042918455     0.004291845     0.008583691 
comes         comfort     comfortable           comfy          coming         comment 
0.012875536     0.017167382     0.266094421     0.021459227     0.038626609     0.004291845 
comments         compact       companion         company        compared      compelling 
0.008583691     0.004291845     0.004291845     0.017167382     0.030042918     0.004291845 
competent     competitive        complain      complained       complaint      complaints 
0.004291845     0.004291845     0.008583691     0.004291845     0.021459227     0.004291845 
complementary        complete      completely     complicated   complimentary       computers 
0.008583691     0.017167382     0.017167382     0.004291845     0.060085837     0.004291845 
concealed         concern       concerned      concerning        concerns         concert 
0.004291845     0.008583691     0.008583691     0.004291845     0.004291845     0.004291845 
concierge      concierges   condescending       condition     conditioner    conditioning 
0.038626609     0.008583691     0.004291845     0.008583691     0.012875536     0.008583691 
conditions       condusive      conference      congregate      connection     connections 
0.004291845     0.004291845     0.017167382     0.004291845     0.004291845     0.004291845 
consequence        consider     considering        constant      constantly      constricts 
0.004291845     0.017167382     0.017167382     0.004291845     0.004291845     0.004291845 
contact       contacted     continental      continents        continue       continued 
0.004291845     0.008583691     0.158798283     0.004291845     0.004291845     0.004291845 
continuously        contrary         control      controlled     convenience    conveniences 
0.004291845     0.004291845     0.004291845     0.004291845     0.004291845     0.004291845 
convenient    conveniently      convention   convieniences          cookie         cookies 
0.068669528     0.012875536     0.012875536     0.004291845     0.012875536     0.012875536 
cool         cooling            core          corner         corners         correct 
0.017167382     0.004291845     0.008583691     0.051502146     0.008583691     0.004291845 
corridors            cost           costs           couch          couldn         counter 
0.004291845     0.025751073     0.004291845     0.004291845     0.038626609     0.008583691 
countries          couple         couples          course           court       courteous 
0.004291845     0.055793991     0.004291845     0.012875536     0.004291845     0.030042918 
courtesy      courthouse       courtyard           cover       coverings            cozy 
0.008583691     0.004291845     0.008583691     0.004291845     0.004291845     0.021459227 
crab         crabpot         cramped           crawl           crazy           creak 
0.004291845     0.004291845     0.004291845     0.004291845     0.004291845     0.004291845 
cream          credit          creole        criminal         critera       criticism 
0.012875536     0.004291845     0.004291845     0.004291845     0.004291845     0.004291845 
crowded           crown          crowne             crt          cruise         cruises 
0.017167382     0.004291845     0.004291845     0.004291845     0.064377682     0.004291845 
crushed          crying         culture             cup            cups         current 
0.004291845     0.004291845     0.004291845     0.017167382     0.004291845     0.004291845 
curtains        customer       customers             cut            cute          cutter 
0.012875536     0.025751073     0.004291845     0.004291845     0.008583691     0.012875536 
d           daily           dance          danger       dangerous          danish 
0.025751073     0.021459227     0.004291845     0.004291845     0.004291845     0.008583691 
dark            date           dated        daughter             day        daylight 
0.004291845     0.012875536     0.008583691     0.008583691     0.210300429     0.004291845 
days         daytime              dd            dead            deal           dealt 
0.077253219     0.004291845     0.004291845     0.004291845     0.030042918     0.004291845 
dear       debarking          decent         decided       decidedly        decision 
0.004291845     0.004291845     0.021459227     0.008583691     0.004291845     0.004291845 
deck          decked           decor       decorated      decorating       dedicated 
0.008583691     0.004291845     0.051502146     0.030042918     0.004291845     0.004291845 
defenetly      definately      definatley        definely        definite      definitely 
0.004291845     0.012875536     0.004291845     0.004291845     0.008583691     0.128755365 
degree        delaware         delayed            deli       delicatos       delicatus 
0.008583691     0.004291845     0.004291845     0.008583691     0.004291845     0.004291845 
delicious         delight       delighted      delightful         deliver       delivered 
0.017167382     0.004291845     0.008583691     0.008583691     0.008583691     0.004291845 
deluxe       demanding       departing      department       departure       depending 
0.034334764     0.004291845     0.004291845     0.004291845     0.008583691     0.004291845 
derelicts      descending        deserves        designer       desirable          desire 
0.004291845     0.004291845     0.004291845     0.004291845     0.008583691     0.004291845 
desired            desk         despite    destinations        detailed         details 
0.004291845     0.184549356     0.012875536     0.004291845     0.004291845     0.004291845 
deter         detract       detriment     development          device              dh 
0.004291845     0.004291845     0.004291845     0.004291845     0.004291845     0.004291845 
dhr          diablo            didn           didnt           diego       different 
0.004291845     0.004291845     0.111587983     0.004291845     0.004291845     0.030042918 
difficult    difficulties      difficulty            dime           dined           diner 
0.004291845     0.004291845     0.008583691     0.004291845     0.004291845     0.008583691 
dining           dinky          dinner       direction      directions        directly 
0.008583691     0.004291845     0.034334764     0.017167382     0.051502146     0.021459227 
disappointed  disappointment   disconcerting        discount       discounts      discovered 
0.017167382     0.004291845     0.004291845     0.017167382     0.004291845     0.012875536 
discovering          dishes   disinterested     displeasure disrespectfully        distance 
0.004291845     0.004291845     0.004291845     0.004291845     0.004291845     0.193133047 
district         disturb      disturbing       diversity            dock          docked 
0.072961373     0.004291845     0.004291845     0.004291845     0.004291845     0.004291845 
docks           doesn             don            door           doors             dot 
0.008583691     0.017167382     0.094420601     0.120171674     0.008583691     0.004291845 
double         doubled         doubles           doubt        downside      downstairs 
0.030042918     0.004291845     0.004291845     0.004291845     0.017167382     0.008583691 
downtown           dozen         dragged         drapery        drawback         drawers 
0.231759657     0.004291845     0.004291845     0.004291845     0.004291845     0.004291845 
drawn           drink        drinking          drinks           drive         drivers 
0.004291845     0.008583691     0.008583691     0.004291845     0.021459227     0.004291845 
driving            drop         dropoff           drove           dryer            dump 
0.008583691     0.004291845     0.004291845     0.012875536     0.004291845     0.004291845 
dumpster            dust            duty               e             ear         earlier 
0.004291845     0.004291845     0.004291845     0.008583691     0.004291845     0.012875536 
early        earplugs            ease          easily            east         eastern 
0.055793991     0.008583691     0.008583691     0.021459227     0.004291845     0.004291845 
easy             eat           eater        eateries          eaters          eatery 
0.150214592     0.025751073     0.004291845     0.012875536     0.004291845     0.004291845 
eating            eats        eclectic      economical         economy            edge 
0.025751073     0.004291845     0.008583691     0.004291845     0.004291845     0.004291845 
edges        educated     educational      efficiency       efficient          effort 
0.004291845     0.004291845     0.004291845     0.004291845     0.021459227     0.008583691 
egg            eggs          eiffel       elaborate      electrical      electronic 
0.004291845     0.077253219     0.004291845     0.004291845     0.004291845     0.004291845 
elegance         elegant        elements        elevated        elevator       elevators 
0.004291845     0.008583691     0.004291845     0.012875536     0.038626609     0.008583691 
elliot         elliott       employees         emptied         enabled        enclosed 
0.008583691     0.021459227     0.021459227     0.004291845     0.004291845     0.004291845 
encounter     encountered             end        endanged           ended         endless 
0.004291845     0.017167382     0.060085837     0.004291845     0.004291845     0.008583691 
engaging         england        enhanced           enjoy       enjoyable         enjoyed 
0.004291845     0.004291845     0.004291845     0.055793991     0.012875536     0.090128755 
enjoying       enlivened          ensure           enter         entered   entertainment 
0.008583691     0.004291845     0.004291845     0.004291845     0.008583691     0.008583691 
entire        entrance     environment       equipment        equipped             era 
0.004291845     0.012875536     0.004291845     0.004291845     0.004291845     0.017167382 
especially     established   establishment  establishments          ethnic          europe 
0.021459227     0.004291845     0.008583691     0.004291845     0.004291845     0.008583691 
european         evening           event          events        everyday       everytime 
0.012875536     0.051502146     0.008583691     0.004291845     0.004291845     0.004291845 
exactly         example        exceeded       excellant      excellence       excellent 
0.004291845     0.008583691     0.017167382     0.008583691     0.004291845     0.133047210 
exception     exceptional   exceptionally      exceptions        exciting      excursions 
0.004291845     0.021459227     0.012875536     0.004291845     0.004291845     0.004291845 
executive         exhibit           exist            exit          expect    expectations 
0.004291845     0.004291845     0.004291845     0.008583691     0.017167382     0.025751073 
expected       expecting       expensive      experience     experienced     experiences 
0.017167382     0.004291845     0.042918455     0.042918455     0.004291845     0.008583691 
explain     exploration         explore       exploring       expressed      expressway 
0.004291845     0.004291845     0.012875536     0.004291845     0.004291845     0.004291845 
extend        extended       extensive     extensively        exterior           extra 
0.008583691     0.008583691     0.012875536     0.004291845     0.012875536     0.042918455 
extraordinary       extremely           exude             eye         ezekial             fab 
0.004291845     0.098712446     0.004291845     0.004291845     0.004291845     0.004291845 
fabulous            face           faced      facilities        facility          facing 
0.008583691     0.008583691     0.021459227     0.017167382     0.004291845     0.004291845 
fact            fado            fair          fairly        fairmont          fallen 
0.034334764     0.004291845     0.017167382     0.025751073     0.004291845     0.004291845 
families          family  familyenjoying          famous             fan            fans 
0.004291845     0.047210300     0.004291845     0.012875536     0.004291845     0.004291845 
fantasizing       fantastic             far            fare       fashioned            fast 
0.004291845     0.051502146     0.047210300     0.025751073     0.004291845     0.017167382 
father         fathers           fault          faulty        favorite         feather 
0.012875536     0.004291845     0.008583691     0.004291845     0.008583691     0.004291845 
federation             fee            feel         feeling            feet            fell 
0.004291845     0.017167382     0.098712446     0.017167382     0.017167382     0.004291845 
fellow            felt          female         ferries           ferry          ferrys 
0.012875536     0.068669528     0.004291845     0.051502146     0.077253219     0.004291845 
fewer              fi         fiancee           field          fields        fighting 
0.008583691     0.021459227     0.004291845     0.051502146     0.012875536     0.004291845 
figure          filled         filling           final         finally       financial 
0.004291845     0.017167382     0.008583691     0.004291845     0.008583691     0.004291845 
finding            fine          finest          finish        finished       fireplace 
0.017167382     0.064377682     0.004291845     0.008583691     0.004291845     0.008583691 
firm            fish      fishermans             fit         fitness            fits 
0.004291845     0.025751073     0.008583691     0.021459227     0.012875536     0.008583691 
fitting        fittings        fixtures       flashiest            flat          flavor 
0.004291845     0.004291845     0.008583691     0.004291845     0.017167382     0.004291845 
flaw        flawless            flew          flight         flights           floor 
0.004291845     0.004291845     0.004291845     0.021459227     0.004291845     0.051502146 
floors          floral        florence         flowers          fluffy         flushed 
0.012875536     0.004291845     0.004291845     0.008583691     0.004291845     0.004291845 
folk           folks          follow       following            food          fooled 
0.004291845     0.008583691     0.004291845     0.004291845     0.072961373     0.004291845 
foot        football          forays      forewarned          forget          forgot 
0.038626609     0.008583691     0.004291845     0.004291845     0.012875536     0.012875536 
forgotten           forks            form           forth       fortunate         forward 
0.008583691     0.004291845     0.008583691     0.004291845     0.004291845     0.017167382 
francisco         frasier            free         freeway          french        frequent 
0.012875536     0.004291845     0.266094421     0.025751073     0.004291845     0.008583691 
frequently           fresh         freshen          friday         fridays          fridge 
0.004291845     0.072961373     0.004291845     0.008583691     0.004291845     0.004291845 
fried          friend        friendly         friends         friendy           fruit 
0.004291845     0.021459227     0.381974249     0.034334764     0.004291845     0.077253219 
fruits             fun       funkiness           funky       furnished     furnishings 
0.004291845     0.047210300     0.004291845     0.008583691     0.021459227     0.017167382 
furniture     furthermore           fussy          future           fuzzy               g 
0.042918455     0.004291845     0.004291845     0.008583691     0.004291845     0.004291845 
gadgets       galleries          gamble            game           games          garage 
0.004291845     0.008583691     0.004291845     0.047210300     0.017167382     0.081545064 
garbage          garden        gasthaus            gate            gave             gem 
0.008583691     0.012875536     0.004291845     0.004291845     0.038626609     0.021459227 
general       generally     generations      generosity        generous       gentleman 
0.012875536     0.004291845     0.004291845     0.004291845     0.008583691     0.008583691 
genuine       genuinely             geo         germany         getaway            gets 
0.008583691     0.004291845     0.004291845     0.004291845     0.004291845     0.004291845 
getting              gf           ghost           giant            gift        gigantic 
0.042918455     0.004291845     0.004291845     0.004291845     0.004291845     0.004291845 
girlfriend           girls           given          giving            glad           glass 
0.008583691     0.004291845     0.047210300     0.012875536     0.012875536     0.008583691 
glasses          gloomy        glorious        gluttons            goes           going 
0.008583691     0.008583691     0.004291845     0.004291845     0.004291845     0.060085837 
gold        goldrush            gone            good         goodies        gorgeous 
0.008583691     0.004291845     0.008583691     0.309012876     0.008583691     0.004291845 
got           gouge         gourmet           grace     grandmother         granted 
0.090128755     0.004291845     0.004291845     0.004291845     0.004291845     0.004291845 
gras            grat        grateful           gravy           great        greatest 
0.004291845     0.004291845     0.004291845     0.004291845     0.467811159     0.008583691 
greatly          greedy           greet         greeted       greetings            greg 
0.012875536     0.004291845     0.004291845     0.038626609     0.004291845     0.008583691 
grew         grocery          ground           group          grumpy          grungy 
0.004291845     0.008583691     0.008583691     0.017167382     0.004291845     0.008583691 
guess           guest          guests           guide          guilty            guys 
0.004291845     0.008583691     0.038626609     0.004291845     0.004291845     0.004291845 
h            hadn          haggle         hailing            hair            half 
0.004291845     0.004291845     0.004291845     0.004291845     0.008583691     0.047210300 
hall           halls         hallway            hand         handbag           handy 
0.008583691     0.012875536     0.008583691     0.008583691     0.004291845     0.017167382 
hang         hangers         hanging          happen        happened       happening 
0.012875536     0.004291845     0.004291845     0.004291845     0.008583691     0.004291845 
happier           happy          harass      harassment          harbor         harbour 
0.008583691     0.047210300     0.004291845     0.004291845     0.004291845     0.012875536 
hard      hardboiled          hardly         harried          hassle           haven 
0.055793991     0.004291845     0.004291845     0.004291845     0.021459227     0.004291845 
hazy            head          headed         heading            hear           heard 
0.004291845     0.012875536     0.017167382     0.004291845     0.017167382     0.021459227 
heart       heartbeat          hearty            heat          heaven           heavy 
0.034334764     0.008583691     0.004291845     0.004291845     0.004291845     0.004291845 
heck            held           hello            help          helped         helpful 
0.004291845     0.004291845     0.008583691     0.047210300     0.017167382     0.360515021 
helpfulness         helping           helps        heritage        hesitate      hesitation 
0.004291845     0.008583691     0.004291845     0.017167382     0.004291845     0.008583691 
hf          hidden            high          higher         highest      highlights 
0.004291845     0.004291845     0.047210300     0.008583691     0.004291845     0.008583691 
highly         highway        highways            hike           hiked            hill 
0.068669528     0.025751073     0.004291845     0.012875536     0.004291845     0.004291845 
hills          hilton            hint        historic      historical         history 
0.004291845     0.004291845     0.004291845     0.154506438     0.051502146     0.042918455 
hit            hold         holding         holiday         holland            home 
0.008583691     0.004291845     0.004291845     0.004291845     0.004291845     0.077253219 
homeless          homely          honest        honestly       honeymoon           honor 
0.055793991     0.004291845     0.012875536     0.004291845     0.004291845     0.004291845 
honored          hoodie        hoodlums             hop            hope           hopes 
0.004291845     0.004291845     0.004291845     0.012875536     0.017167382     0.004291845 
hopspitality        horrible     hospitality          hostel             hot          hotell 
0.004291845     0.004291845     0.004291845     0.004291845     0.042918455     0.004291845 
hotels           hotub            hour           hours           house          housed 
0.128755365     0.004291845     0.012875536     0.021459227     0.012875536     0.004291845 
housekeeping          houses              hr            huge          humour           hurry 
0.021459227     0.008583691     0.008583691     0.021459227     0.008583691     0.004291845 
husbad         husband           husky             hut             hwy             ice 
0.004291845     0.068669528     0.004291845     0.004291845     0.004291845     0.004291845 
idea           ideal            idol             iga           ignor     illuminated 
0.004291845     0.012875536     0.004291845     0.004291845     0.004291845     0.004291845 
image         imagine        imagined      immaculate       immediate     immediately 
0.008583691     0.008583691     0.004291845     0.012875536     0.012875536     0.017167382 
impeccably      impersonal       important      impossible         impress       impressed 
0.004291845     0.004291845     0.008583691     0.004291845     0.004291845     0.030042918 
impression      impressive         improve     improvement       incentive         include 
0.012875536     0.008583691     0.012875536     0.004291845     0.004291845     0.004291845 
included       including       inclusive    inconveinant    inconvenient    inconvienent 
0.081545064     0.085836910     0.004291845     0.004291845     0.008583691     0.004291845 
incorporated       incorrect      incredible      incredibly     independent      individual 
0.004291845     0.004291845     0.004291845     0.012875536     0.008583691     0.008583691 
individuals     inexpensive       inflenced            info     information     informative 
0.004291845     0.008583691     0.004291845     0.008583691     0.008583691     0.008583691 
informed    infringement          inisde         initial          injury          inlaws 
0.017167382     0.004291845     0.004291845     0.008583691     0.004291845     0.004291845 
inn           inner     inoperative          inside       inspected      installing 
0.004291845     0.004291845     0.004291845     0.034334764     0.004291845     0.004291845 
instead         intense      interested     interesting        interior    intermittent 
0.017167382     0.004291845     0.004291845     0.047210300     0.021459227     0.004291845 
internal   international        internet      interstate       interview         invited 
0.004291845     0.021459227     0.094420601     0.004291845     0.004291845     0.004291845 
inviting           irish            iron         ironing             ish          island 
0.004291845     0.008583691     0.017167382     0.004291845     0.004291845     0.017167382 
islands             isn            isnt           issue          issues         italian 
0.004291845     0.008583691     0.004291845     0.038626609     0.004291845     0.051502146 
italy            item           items            ivar           ivars               j 
0.004291845     0.004291845     0.017167382     0.008583691     0.004291845     0.004291845 
jacuzzi            jams             jan         january            java            jazz 
0.004291845     0.004291845     0.004291845     0.008583691     0.004291845     0.012875536 
jewel         jimmies              jo             job             joe            john 
0.004291845     0.004291845     0.004291845     0.017167382     0.004291845     0.008583691 
joining        jokingly             joy           judge           juice          juices 
0.004291845     0.004291845     0.004291845     0.004291845     0.025751073     0.008583691 
julia           julie          julies        juliette            july            just 
0.004291845     0.004291845     0.004291845     0.004291845     0.004291845     0.231759657 
justice       justified               k             kai        katarina         katrina 
0.004291845     0.004291845     0.004291845     0.004291845     0.008583691     0.004291845 
kay         keeping        kelloggs            kept           kerry          keurig 
0.004291845     0.012875536     0.004291845     0.030042918     0.004291845     0.004291845 
key            keys            kick         kicking            kids            kill 
0.021459227     0.008583691     0.004291845     0.004291845     0.008583691     0.004291845 
killed            kilt            kind          kindly           kinds            king 
0.004291845     0.004291845     0.021459227     0.004291845     0.012875536     0.077253219 
kit        klondike        klondyke            knew           knock        knocking 
0.004291845     0.012875536     0.004291845     0.021459227     0.004291845     0.008583691 
know         knowing   knowledgeable           knows              la       labyrinth 
0.047210300     0.004291845     0.038626609     0.004291845     0.004291845     0.004291845 
lamps        landings        landmark            lane           lanes          laptop 
0.004291845     0.004291845     0.004291845     0.004291845     0.004291845     0.004291845 
large          larger         largest          larisa            late           later 
0.163090129     0.030042918     0.004291845     0.004291845     0.068669528     0.017167382 
latest           latte          lavish            laws             lay         layouts 
0.004291845     0.004291845     0.004291845     0.004291845     0.004291845     0.004291845 
leadlight           learn         learned           leave         leaving            left 
0.004291845     0.004291845     0.004291845     0.017167382     0.012875536     0.064377682 
leg            legs         leisure          length          lesson             let 
0.004291845     0.004291845     0.017167382     0.004291845     0.004291845     0.025751073 
lets          levels       liability         library         licence            life 
