aaa            able        absolute      absolutely        abundant         abusive 
buy              bw             bws          bygone             caa             cab 
3               7               1               1               1              10 
cabinet           cable         caching           cafes      california          called 
1               2               1               2               2               9 
calls            calm            came          camera         cameras          canada 
4               1              15               2               2               1 
cancel           candy             cap         capitol             car           carbs 
1               2               1               1              22               1 
card          cardio            care         careful       carefully        careless 
7               1               4               1               1               1 
cares          caring        carltons          carpet       carpeting         carpets 
2               1               1               4               1               1 
carried           carry            cars          carved            case          casual 
1               1               1               1               3               1 
catch        catching        category           cater          caught          caused 
6               2               1               1               5               2 
cbd         ceiling        ceilings     celebrating         celings            cent 
1               1               5               1               1               1 
center         central       centrally          centre         century     centurylink 
13               5               4               2               1               1 
cereal         cereals       certainly           chain          chains           chair 
16               9               8               5               1               1 
chairs      challenges       champagne          change        changing       character 
3               1               4               3               1              11 
charge         charged         charges        charging         charity           charm 
4               3               1               2               1              13 
charming           cheap         cheaper           check         checked         checkin 
7               3               4              22               9               3 
checking        checkout     cheeeeeeeap        cheerful      cheerfully          cheers 
4               3               1               2               1               1 
cheese          cherry           chest       chickened        children         chilled 
1               1               1               1               1               1 
chilling          chilly       chinatown         chinese            chip           chips 
1               1               6               1               1               2 
chocolate          choice         choices          choose           chose          chosen 
1              10               3               5               8               2 
chowder          chower           chris       christmas           cindy   circumstances 
1               1               1               1               1               2 
cities            city           claim          claims            clam           clams 
1              36               1               1               1               1 
class         classic          classy          clatts  claustrophobic           clean 
2               3               1               1               1              93 
cleaning     cleanliness           clear       clearance         cleared        clearing 
1               1               2               1               1               1 
clearly           cleck           clerk          clerks           climb         clipper 
1               1               4               2               2               3 
close          closed          closer         closest         closing         clothed 
57               2               4               3               1               1 
clothes            club           clubs           coast           cocoa             cod 
1               3               2               4               1               1 
code          coffee            cold      colleagues       collected       collision 
1              21               5               1               1               1 
color        colorful          colors        coloured        columbia          column 
1               1               1               1               1               1 
com     combination       combining            come       comedians          comedy 
3               1               1              10               1               2 
comes         comfort     comfortable           comfy          coming         comment 
3               4              62               5               9               1 
comments         compact       companion         company        compared      compelling 
2               1               1               4               7               1 
competent     competitive        complain      complained       complaint      complaints 
1               1               2               1               5               1 
complementary        complete      completely     complicated   complimentary       computers 
2               4               4               1              14               1 
concealed         concern       concerned      concerning        concerns         concert 
1               2               2               1               1               1 
concierge      concierges   condescending       condition     conditioner    conditioning 
9               2               1               2               3               2 
conditions       condusive      conference      congregate      connection     connections 
1               1               4               1               1               1 
consequence        consider     considering        constant      constantly      constricts 
1               4               4               1               1               1 
contact       contacted     continental      continents        continue       continued 
1               2              37               1               1               1 
continuously        contrary         control      controlled     convenience    conveniences 
1               1               1               1               1               1 
convenient    conveniently      convention   convieniences          cookie         cookies 
16               3               3               1               3               3 
cool         cooling            core          corner         corners         correct 
4               1               2              12               2               1 
corridors            cost           costs           couch          couldn         counter 
1               6               1               1               9               2 
countries          couple         couples          course           court       courteous 
1              13               1               3               1               7 
courtesy      courthouse       courtyard           cover       coverings            cozy 
2               1               2               1               1               5 
crab         crabpot         cramped           crawl           crazy           creak 
1               1               1               1               1               1 
cream          credit          creole        criminal         critera       criticism 
3               1               1               1               1               1 
crowded           crown          crowne             crt          cruise         cruises 
4               1               1               1              15               1 
crushed          crying         culture             cup            cups         current 
1               1               1               4               1               1 
curtains        customer       customers             cut            cute          cutter 
3               6               1               1               2               3 
d           daily           dance          danger       dangerous          danish 
6               5               1               1               1               2 
dark            date           dated        daughter             day        daylight 
1               3               2               2              49               1 
days         daytime              dd            dead            deal           dealt 
18               1               1               1               7               1 
dear       debarking          decent         decided       decidedly        decision 
1               1               5               2               1               1 
deck          decked           decor       decorated      decorating       dedicated 
2               1              12               7               1               1 
defenetly      definately      definatley        definely        definite      definitely 
1               3               1               1               2              30 
degree        delaware         delayed            deli       delicatos       delicatus 
2               1               1               2               1               1 
delicious         delight       delighted      delightful         deliver       delivered 
4               1               2               2               2               1 
deluxe       demanding       departing      department       departure       depending 
8               1               1               1               2               1 
derelicts      descending        deserves        designer       desirable          desire 
1               1               1               1               2               1 
desired            desk         despite    destinations        detailed         details 
1              43               3               1               1               1 
deter         detract       detriment     development          device              dh 
1               1               1               1               1               1 
dhr          diablo            didn           didnt           diego       different 
1               1              26               1               1               7 
difficult    difficulties      difficulty            dime           dined           diner 
1               1               2               1               1               2 
dining           dinky          dinner       direction      directions        directly 
2               1               8               4              12               5 
disappointed  disappointment   disconcerting        discount       discounts      discovered 
4               1               1               4               1               3 
discovering          dishes   disinterested     displeasure disrespectfully        distance 
1               1               1               1               1              45 
district         disturb      disturbing       diversity            dock          docked 
17               1               1               1               1               1 
docks           doesn             don            door           doors             dot 
2               4              22              28               2               1 
double         doubled         doubles           doubt        downside      downstairs 
7               1               1               1               4               2 
downtown           dozen         dragged         drapery        drawback         drawers 
54               1               1               1               1               1 
drawn           drink        drinking          drinks           drive         drivers 
1               2               2               1               5               1 
driving            drop         dropoff           drove           dryer            dump 
2               1               1               3               1               1 
dumpster            dust            duty               e             ear         earlier 
1               1               1               2               1               3 
early        earplugs            ease          easily            east         eastern 
13               2               2               5               1               1 
easy             eat           eater        eateries          eaters          eatery 
35               6               1               3               1               1 
eating            eats        eclectic      economical         economy            edge 
6               1               2               1               1               1 
edges        educated     educational      efficiency       efficient          effort 
1               1               1               1               5               2 
egg            eggs          eiffel       elaborate      electrical      electronic 
1              18               1               1               1               1 
elegance         elegant        elements        elevated        elevator       elevators 
1               2               1               3               9               2 
elliot         elliott       employees         emptied         enabled        enclosed 
2               5               5               1               1               1 
encounter     encountered             end        endanged           ended         endless 
1               4              14               1               1               2 
engaging         england        enhanced           enjoy       enjoyable         enjoyed 
1               1               1              13               3              21 
enjoying       enlivened          ensure           enter         entered   entertainment 
2               1               1               1               2               2 
entire        entrance     environment       equipment        equipped             era 
1               3               1               1               1               4 
especially     established   establishment  establishments          ethnic          europe 
5               1               2               1               1               2 
european         evening           event          events        everyday       everytime 
3              12               2               1               1               1 
exactly         example        exceeded       excellant      excellence       excellent 
1               2               4               2               1              31 
exception     exceptional   exceptionally      exceptions        exciting      excursions 
1               5               3               1               1               1 
executive         exhibit           exist            exit          expect    expectations 
1               1               1               2               4               6 
expected       expecting       expensive      experience     experienced     experiences 
4               1              10              10               1               2 
explain     exploration         explore       exploring       expressed      expressway 
1               1               3               1               1               1 
extend        extended       extensive     extensively        exterior           extra 
2               2               3               1               3              10 
extraordinary       extremely           exude             eye         ezekial             fab 
1              23               1               1               1               1 
fabulous            face           faced      facilities        facility          facing 
2               2               5               4               1               1 
fact            fado            fair          fairly        fairmont          fallen 
8               1               4               6               1               1 
families          family  familyenjoying          famous             fan            fans 
1              11               1               3               1               1 
fantasizing       fantastic             far            fare       fashioned            fast 
1              12              11               6               1               4 
father         fathers           fault          faulty        favorite         feather 
3               1               2               1               2               1 
federation             fee            feel         feeling            feet            fell 
1               4              23               4               4               1 
fellow            felt          female         ferries           ferry          ferrys 
3              16               1              12              18               1 
fewer              fi         fiancee           field          fields        fighting 
2               5               1              12               3               1 
figure          filled         filling           final         finally       financial 
1               4               2               1               2               1 
finding            fine          finest          finish        finished       fireplace 
4              15               1               2               1               2 
firm            fish      fishermans             fit         fitness            fits 
1               6               2               5               3               2 
fitting        fittings        fixtures       flashiest            flat          flavor 
1               1               2               1               4               1 
flaw        flawless            flew          flight         flights           floor 
1               1               1               5               1              12 
floors          floral        florence         flowers          fluffy         flushed 
3               1               1               2               1               1 
folk           folks          follow       following            food          fooled 
1               2               1               1              17               1 
foot        football          forays      forewarned          forget          forgot 
9               2               1               1               3               3 
forgotten           forks            form           forth       fortunate         forward 
2               1               2               1               1               4 
francisco         frasier            free         freeway          french        frequent 
3               1              62               6               1               2 
frequently           fresh         freshen          friday         fridays          fridge 
1              17               1               2               1               1 
fried          friend        friendly         friends         friendy           fruit 
1               5              89               8               1              18 
fruits             fun       funkiness           funky       furnished     furnishings 
1              11               1               2               5               4 
furniture     furthermore           fussy          future           fuzzy               g 
10               1               1               2               1               1 
gadgets       galleries          gamble            game           games          garage 
1               2               1              11               4              19 
garbage          garden        gasthaus            gate            gave             gem 
2               3               1               1               9               5 
general       generally     generations      generosity        generous       gentleman 
3               1               1               1               2               2 
genuine       genuinely             geo         germany         getaway            gets 
2               1               1               1               1               1 
getting              gf           ghost           giant            gift        gigantic 
10               1               1               1               1               1 
girlfriend           girls           given          giving            glad           glass 
2               1              11               3               3               2 
glasses          gloomy        glorious        gluttons            goes           going 
2               2               1               1               1              14 
gold        goldrush            gone            good         goodies        gorgeous 
2               1               2              72               2               1 
got           gouge         gourmet           grace     grandmother         granted 
21               1               1               1               1               1 
gras            grat        grateful           gravy           great        greatest 
1               1               1               1             109               2 
greatly          greedy           greet         greeted       greetings            greg 
3               1               1               9               1               2 
grew         grocery          ground           group          grumpy          grungy 
1               2               2               4               1               2 
guess           guest          guests           guide          guilty            guys 
1               2               9               1               1               1 
h            hadn          haggle         hailing            hair            half 
1               1               1               1               2              11 
hall           halls         hallway            hand         handbag           handy 
2               3               2               2               1               4 
hang         hangers         hanging          happen        happened       happening 
3               1               1               1               2               1 
happier           happy          harass      harassment          harbor         harbour 
2              11               1               1               1               3 
hard      hardboiled          hardly         harried          hassle           haven 
13               1               1               1               5               1 
hazy            head          headed         heading            hear           heard 
1               3               4               1               4               5 
heart       heartbeat          hearty            heat          heaven           heavy 
8               2               1               1               1               1 
heck            held           hello            help          helped         helpful 
1               1               2              11               4              84 
helpfulness         helping           helps        heritage        hesitate      hesitation 
1               2               1               4               1               2 
hf          hidden            high          higher         highest      highlights 
1               1              11               2               1               2 
highly         highway        highways            hike           hiked            hill 
16               6               1               3               1               1 
hills          hilton            hint        historic      historical         history 
1               1               1              36              12              10 
hit            hold         holding         holiday         holland            home 
2               1               1               1               1              18 
homeless          homely          honest        honestly       honeymoon           honor 
13               1               3               1               1               1 
honored          hoodie        hoodlums             hop            hope           hopes 
1               1               1               3               4               1 
hopspitality        horrible     hospitality          hostel             hot          hotell 
1               1               1               1              10               1 
hotels           hotub            hour           hours           house          housed 
30               1               3               5               3               1 
housekeeping          houses              hr            huge          humour           hurry 
5               2               2               5               2               1 
husbad         husband           husky             hut             hwy             ice 
1              16               1               1               1               1 
idea           ideal            idol             iga           ignor     illuminated 
1               3               1               1               1               1 
image         imagine        imagined      immaculate       immediate     immediately 
2               2               1               3               3               4 
impeccably      impersonal       important      impossible         impress       impressed 
1               1               2               1               1               7 
impression      impressive         improve     improvement       incentive         include 
3               2               3               1               1               1 
included       including       inclusive    inconveinant    inconvenient    inconvienent 
19              20               1               1               2               1 
incorporated       incorrect      incredible      incredibly     independent      individual 
1               1               1               3               2               2 
individuals     inexpensive       inflenced            info     information     informative 
1               2               1               2               2               2 
informed    infringement          inisde         initial          injury          inlaws 
4               1               1               2               1               1 
inn           inner     inoperative          inside       inspected      installing 
1               1               1               8               1               1 
instead         intense      interested     interesting        interior    intermittent 
4               1               1              11               5               1 
internal   international        internet      interstate       interview         invited 
1               5              22               1               1               1 
inviting           irish            iron         ironing             ish          island 
1               2               4               1               1               4 
islands             isn            isnt           issue          issues         italian 
1               2               1               9               1              12 
italy            item           items            ivar           ivars               j 
1               1               4               2               1               1 
jacuzzi            jams             jan         january            java            jazz 
1               1               1               2               1               3 
jewel         jimmies              jo             job             joe            john 
1               1               1               4               1               2 
joining        jokingly             joy           judge           juice          juices 
1               1               1               1               6               2 
julia           julie          julies        juliette            july            just 
1               1               1               1               1              54 
justice       justified               k             kai        katarina         katrina 
1               1               1               1               2               1 
kay         keeping        kelloggs            kept           kerry          keurig 
1               3               1               7               1               1 
key            keys            kick         kicking            kids            kill 
5               2               1               1               2               1 
killed            kilt            kind          kindly           kinds            king 
1               1               5               1               3              18 
kit        klondike        klondyke            knew           knock        knocking 
1               3               1               5               1               2 
know         knowing   knowledgeable           knows              la       labyrinth 
11               1               9               1               1               1 
lamps        landings        landmark            lane           lanes          laptop 
1               1               1               1               1               1 
large          larger         largest          larisa            late           later 
38               7               1               1              16               4 
latest           latte          lavish            laws             lay         layouts 
1               1               1               1               1               1 
leadlight           learn         learned           leave         leaving            left 
1               1               1               4               3              15 
leg            legs         leisure          length          lesson             let 
1               1               4               1               1               6 
lets          levels       liability         library         licence            life 
1               1               1               2               1               4 
lift          lifted           light        lighting          lights            like 
1               1              20               3               1              35 
liked          likely          liking         limited            limo            line 
10               1               1               6               2               4 
lined          linens           lines            link          listed          listen 
2               2               1               2               1               2 
lit       literally          little         livable            live           lived 
1               2              31               1               2               1 
lively          living              ll            load          loaded         loading 
3               1              11               1               1               2 
loads          loaned           lobby       locacated           local          locale 
1               1              12               1              10               1 
located        location       locations            lock           locks         lodging 
40              91               2               1               1               1 
loggers         logging            logo            logs          lonely            long 
1               1               1               1               1              13 
longer            look          looked         looking           looks         looming 
4               6               7              15               2               1 
loosing            lose             lot            lots            loud          lounge 
1               1              23              21               2               2 
love           loved          lovely           lover          lovers           loves 
10              15               8               1               1               1 
lower            luck         luckily           lucky         luggage           lumpy 
1               1               2               1              14               1 
lunch       luxurious          luxury               m         machine        machines 
1               2               1               6               3               1 
macy            maid            mail          mailed            main      maintained 
1               1               1               1               8               2 
maintaining           major            make           maker           makes          making 
1               4              20               6               7               7 
mall             man       managable         managed         manager          manner 
3               3               1               3               2               1 
manually             map           maple            maps        marathon           march 
1               2               1               3               1               1 
mardi         marilyn          marine         mariner        mariners           mario 
1               1               1               5               5               1 
mark          marked          market          martin         martini       marvelous 
1               1              62               1               1               1 
mass         massage         massive           match         matched      mattresses 
2               1               1               1               1               1 
maybe       mccormick         mcdicks            meal           meals            mean 
5               1               1               6               5               1 
meaning           means           meant            meat        mediocre            meet 
1               2               1               1               2               2 
meeting            melt          member      membership       memorable          memory 
4               1               4               1               4               1 
men          mental         mention       mentioned            menu            meny 
2               1               3               2               1               1 
mess           messy             met           metro              mi         michael 
1               1               3               2               1               3 
micheal       michellis             mid          middle        midnight         midweek 
1               1               3               8               1               1 
mike            mile           miles            milk     millworkers             min 
3               2               4               2               1               2 
mind         minimal           minor           mints         minuses          minute 
4               1               2               1               1              16 
minutes          mirror      mismatched            miss          missed         missing 
12               1               1               1               1               1 
missions      mistakenly             mkt              ml        mobility           model 
2               1               1               1               1               1 
modern          modest           moldy          moment          monday           money 
11               1               1               3               1               9 
monorail           month          months         morning        mornings           motel 
6               2               1              26               2               1 
mother          motion         mounted           moved          moving              mt 
2               1               1               1               1               1 
muddy          muffin         muffins       multitude        murdered          museum 
1               1               7               1               1              15 
music           names          narrow        national          native          nature 
4               1               1               2               1               1 
navigate      navigating             ncl              nd            near          nearby 
1               1               1               7              23              22 
nearer         nearest          nearly       necessary     necessities            need 
2               1               1               3               2              23 
needed          needle        needless           needs        negative       negatives 
14              12               1               7               6               1 
negotiating    neighborhood   neighborhoods            neon           nerve      neutrogena 
1              11               1               1               1               1 
new            news             nfl            nice          nicely           nicer 
12               1               1              68              10               2 
nicest           niche           night       nightcaps       nightmare          nights 
2               1              67               1               1              43 
nite           noise          noises          noisey         noisier           noisy 
1              23               2               1               1               9 
non            noon          normal           north           notch            note 
3               1               2               3               2               2 
notice         noticed             nov              nt          number        numerous 
3               3               2               1               5               1 
nuts         oatmeal        obliging     obnoxiously     observation       obtrusive 
1               1               1               1               2               2 
obvious       obviously      occidental        occupied           ocean         october 
1               1               1               1               1               2 
odd        oddities           oddly            odor           offer         offered 
1               1               1               1               7               9 
offerings          offers     offhandedly          office            offs              oh 
1               3               1               3               1               4 
ok            okay             old           older          oldest            omit 
5               3              53              11               2               1 
ones          online          onsite            open          opened          opener 
3               5               2               8               5               1 
opera       operating         opinion        opposite             opt           opted 
1               1               4               3               1               1 
option         options          orange         oranges           order          oregon 
2               4               1               1               3               1 
organised       organized       orginally        original      originally         orleans 
2               1               1               6               4               2 
os        outdated           outdo         outdoor          outfit         outlets 
1               1               1               1               1               1 
outs         outside     outstanding      outweighed         overall      overcharge 
1              11               8               1              14               1 
overcrowded        overhead        overlook      overlooked     overlooking          overly 
1               1               1               2               3               1 
overnight        overnite      overpriced       overrated      overseeing       oversized 
3               1               1               1               1               1 
overwhelmed             owl           owner          oyster         oysters               p 
1               1               1               2               1               2 
pace           paced         pacific            pack         package        packaged 
1               1               2               1               1               1 
paid           paied            pain           palms       pampering           paned 
6               1               1               1               1               2 
panelled       panelling     panhandlers     panhandling           paper           paris 
1               1               3               2               1               1 
park         parkade          parked         parkeed         parkinf         parking 
13               2               4               1               1              38 
parks    participated      particular   particularily    particularly         partner 
2               1               1               1               3               1 
parts        partying            pass          passes            past        pastries 
4               1               2               2               6               4 
pastry             pat         patient           patio         patrons             pav 
1               1               1               2               1               1 
pay           payed          paying              pc            peak          people 
7               1               4               1               1              26 
perceived         perched         perfect       perfectly          period          person 
1               1              23               6               7              12 
personable        personal    personalized      personally       personnel         persons 
1               2               1               1               5               3 
persuade            pets      phenomenal    philadelphia        phillips             pho 
1               1               2               1               1               3 
phone          phoned           photo          photos         picasso            pick 
4               1               1               1               1               2 
picked          pickup           picky         picture        pictures            pier 
3               1               1               1               2              12 
piers             pig            pike           pikes          pillow         pillows 
4               1              51              10               1               8 
pink        pioneers         pionner         pipping           pizza           place 
1               1               2               1               2              61 
placed          places            plan          planet         planned         planner 
1              12               5               2               3               1 
planning         plastic          plates           plaza        pleasant      pleasantly 
1               1               1               1              23               2 
pleased        pleasure       plentiful          plenty       plesantly           plugs 
4               4               1              12               1               1 
plumbing          pluses           plush              pm           point           poles 
1               1               1               9               2               1 
police        policies          polite            pool            poor         popular 
1               1               5               4               2               2 
port        portions        portland           ports        positive      positively 
3               1               1               1               5               1 
possibility        possible        possibly          posted             pot       potential 
1               3               2               2               3               1 
pots           power       practical     practically             pre         precise 
1               1               1               3               1               1 
prefer       preferred        prepared       presented       preserved        pressure 
2               1               3               1               2               1 
pretentious          pretty        previous      previously            prey           price 
1               6               1               1               1              37 
priced       priceline          prices          pricey            prim        princess 
8               1               1               3               1               1 
print         printed         printer           prior         private      priveleges 
2               1               1               3               1               1 
privelidges        probably         problem     problematic        problems    professional 
1               4               7               1               5               7 
promised          prompt        promptly      properties        property      proportion 
3               1               2               1               3               1 
propositioned         protein           proud          proved         provide        provided 
1               2               1               1               4               6 
provider        provides       providing       proximity              ps             psh 
1               7               2               6               1               2 
pub          public            pubs           puget            pull          pulled 
6              18               7               1               4               1 
purchased      purchasing         purpose            puts          quaint         quality 
1               1               1               1              11               7 
qualm        quantity           queen         queries           quest       questions 
1               1               3               1               3               9 
quick         quickly           quiet         quieter        quietest         quietly 
6               2              35               3               1               2 
quintet          quirks           quite           qwest          rachel            rack 
1               1              19               7               1               1 
racking            rail         railway            rain          rained          rainer 
1              15               3               1               2               1 
raining           rains           raise          raised            ramp             ran 
1               1               1               1               1               1 
randy           range            rare            rate           rated           rates 
1               2               2              12               3               5 
rating              rd           reach         reached            read         reading 
3               1               2               1               4               2 
ready            real         realize        realized          really     reaquainted 
9               6               1               2              24               1 
reason      reasonable      reasonably       reccomend reccomendations         receipe 
2              12               6               1               2               1 
receive        received          recent        recently      receommend       reception 
2               6               1               6               1               5 
recieved   recomandaiton        recomend       recommend  recommendation recommendations 
1               1               1              36               1               4 
recommended    recommending   reconstituted        recourse             red          redone 
7               1               1               1               1               2 
refitted       refitting      refreshing          refund      refundable     refurbished 
1               1               1               2               1               4 
register            regn          regret      relatively           relax         relaxed 
2               1               1               3               3               1 
relaxing        reliable        relieved       remainder       remaining        remember 
3               1               1               1               2               3 
reminded         reminds       remodeled      rennovated       renovated          renown 
2               2               6               1               5               1 
rent          rental         rentals          rented      repeatedly     replacement 
2               4               1               2               1               1 
replacing       replenish     replenished          report         request       requested 
1               1               1               1               5               2 
requests         require        required     requirement    requirements          rescue 
1               1               1               1               1               1 
reservation    reservations         reserve        reserved       resonable       responded 
4               5               1               1               1               1 
responsibility            rest     restaraunts      restauants      restaurant     restaurants 
1               7               1               1              18              46 
restocked     restoration        restored      restraunts    restrictions restuarantright 
1               2               5               1               1               1 
retained         retains         retired      retirement      retrieving          return 
2               1               1               1               1              14 
returned       returning         reunion        revelery          review       reviewers 
4               5               1               1               1               1 
reviews            ride           rides          riding           right            ritz 
6              16               1               1              36               1 
road         roaming         roasted            rode        rollaway         rolling 
5               1               1               2               1               1 
rolls        romantic            room           rooms           roomy       rosemarie 
3               4             135              70               2               1 
rough           round           route          routes             row            rude 
2               1               4               1               3               2 
run         running            runs            rush            russ               s 
5               1               2               4               1              66 
sacrificing             sad           sadly            safe          safeco           safer 
1               1               1               9              17               2 
safety            said           salon          saloon             sam             san 
1              11               1               3               1               4 
sandwich      sandwiches             sat       satisfied        saturday         sausage 
1               1               1               4               2               1 
save           saved           saver          saving         savings             saw 
2               3               1               3               2               2 
say            says            scam            scan          scarce          scared 
14               1               1               1               1               1 
schmick          school       scrambled          screen         screens         screwed 
1               1               1               3               1               1 
sculpture             sea         seafood         seahawk        seahawks        seamless 
1               6               5               2               6               1 
searched       searching          season            seat          seatac          seater 
1               1               1               1               5               1 
second          secret         section          secure        security           seedy 
10               1               5               6               1               3 
seeing            seen          select       selection      selections            self 
4               3               1               7               1               2 
sellers           sells            send           sense       sensitive            sent 
1               1               1               2               1               2 
separate      separately            sept       september       seriously         serivce 
1               1               1               3               1               1 
serve          served          serves         service        serviced        services 
4               6               1              45               2               1 
serving             set         setting         settled           seven         severed 
3               2               1               1               1               1 
shady         shallow         shampoo        shampoos           shape          shaped 
1               1               2               1               1               3 
share          shared         shaving           sheer         shelter        shelters 
3               1               1               1               1               1 
sheraton            ship         shipped            shoe           shoes           shone 
1               4               2               1               1               1 
shop        shopping           shops       shoreline           short          showed 
3              12              20               1              21               3 
shower         showers         showing           shows         shuttle       shutttles 
11               1               1               1               2               1 
sight          sights     sightseeing            sign     significant           signs 
5               3               4               1               1               1 
similar          simple          simply       simularly          single         singles 
2               4               3               1               5               1 
sink          sirens          sister             sit            site           sites 
1               1               1               1               6               3 
sitting        situated       situation            size           sized         sketchy 
3               2               1              11               4               3 
skid         skidded          skills            skip     skyscrapers           sleep 
2               1               1               1               1               8 
sleeper        sleeping           slept         slighly          slight        slightly 
1               2               4               1               1               1 
slipping       sloooooow            slow           small        smallest        smallish 
1               1               5              41               3               1 
smalltown           smell           smile          smiles         smiling           smith 
1               3               5               2               1               3 
smoking          smooth          snacks           sneak        sneaking           snobs 
3               3               3               1               1               1 
soap           soaps            sofa            soft        somewhat             son 
1               2               1               2               5               3 
sons            soon           soooo           sorts            soul           sound 
1               3               1               2               1               5 
sounded        sounders         soundly          sounds          source           south 
2               1               1               3               1               3 
southeast       southwest        souvenir             spa           space          spaces 
1               1               1               1              19               3 
spacious       sparkling           spcae           speak        speaking         special 
18               1               1               1               2               3 
specific    specifically     spectacular           speed          speedy           spend 
1               1               5               3               1               4 
spending           spent           spice          spiffy           spill         spilled 
1              10               1               1               1               1 
splashing      splendidly         splurge           spoke          spooky        sporting 
1               1               1               1               1               2 
sports            spot        spotless      spotlessly           spots          spouse 
4               5               5               2               4               1 
spray          spread          spring          sprung            spur              sq 
1               1               2               1               1               1 
squat         squeeze              st          stadia         stadium        stadiums 
1               1              11               1               6              13 
staff         staffed          staffs         stained       staircase      staircases 
144               1               1               2               3               1 
stairs        stairway       stairways           stale        standard       standards 
4               1               1               1               2               2 
standing          stands            star       starbucks           stars           start 
1               1               4               5               2               9 
starting           state          states         station            stay          stayed 
1               4               2              31             106              76 
